,county,state,date,latitude,longitude,season,temperature_high,temperature_low,cloud_cover,precip_intensity,visibility,conditions,wind_speed,Precip Intensity Groups,Visibility Classification (mi),Cloud Cover Classification (%)
1,Wyoming County,West Virginia,2005-12-03,37.58135,-81.29745,Winter,37.8,21.6,66.7,0.204,9.3,"Snow, Rain, Partially cloudy",17.1,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
2,Windsor County,Vermont,2005-10-08,43.4654,-72.7051,Fall,64.3,45.9,100.0,3.208,5.0,"Rain, Overcast",7.6,violent: >2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
3,Wythe County,Virginia,1984-04-08,37.22647,-81.09017,Spring,59.0,37.0,76.2,0.0,13.0,Partially cloudy,11.5,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
7,Washington County,Rhode Island,1974-09-20,41.45,-71.5,Fall,78.2,65.9,96.7,0.0,2.6,Overcast,15.0,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
10,Washita County,Oklahoma,1973-09-28,35.3011,-99.1702,Fall,72.6,47.6,14.0,0.0,20.4,Clear,12.7,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
12,Westchester County,New York,2010-09-01,41.29873,-73.73717,Fall,90.6,67.3,9.0,0.0,6.7,Clear,6.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
14,Washington County,Ohio,1978-11-01,39.54739,-81.39101,Winter,61.4,41.4,27.5,0.0,4.7,Partially cloudy,8.5,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
15,Washington County,Ohio,1984-07-04,39.46019,-81.54855,Summer,79.9,70.1,91.6,0.039,4.6,"Rain, Overcast",13.9,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
16,Washington County,Ohio,1990-07-01,39.3731,-81.65929,Summer,83.8,65.7,67.4,0.079,6.0,"Rain, Partially cloudy",15.8,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
17,Washington County,Ohio,2009-10-31,39.42635,-81.37085,Fall,69.0,48.8,81.6,0.489,8.6,"Rain, Partially cloudy",18.3,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
19,Washington County,Rhode Island,1978-07-15,41.432,-71.65183,Summer,71.0,65.0,100.0,0.546,6.9,"Rain, Overcast",13.9,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
20,Washington County,Rhode Island,2006-11-03,41.4596,-71.58906,Fall,45.8,29.7,21.9,0.0,9.9,Partially cloudy,7.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
21,York County,South Carolina,2022-07-05,35.0591,-81.11742,Summer,91.8,71.6,49.1,0.297,6.4,"Rain, Partially cloudy",14.2,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
23,Wilson County,Tennessee,2008-10-27,35.9978,-86.2011,Fall,56.7,40.2,56.1,0.0,9.9,Partially cloudy,20.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
24,Wilson County,Tennessee,2010-07-16,36.25466,-86.15759,Summer,96.5,74.5,46.5,0.105,9.7,"Rain, Partially cloudy",11.4,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
26,Wood County,Texas,2004-03-25,32.69028,-95.61056,Winter,80.0,61.1,94.6,0.0,8.7,Overcast,18.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
28,Weber County,Utah,1962-05-01,41.5,-111.75,Spring,66.0,53.3,51.7,0.091,9.2,"Rain, Partially cloudy",10.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
33,Weber County,Utah,2007-08-31,41.41125,-111.5833,Fall,85.4,69.1,33.5,0.0,9.9,Partially cloudy,11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
34,Wythe County,Virginia,2003-10-23,37.00085,-80.8797,Fall,52.6,36.7,66.3,0.0,9.9,Partially cloudy,14.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
36,Wythe County,Virginia,2019-04-10,37.0048,-81.11751,Spring,70.3,44.2,8.2,0.0,9.9,Clear,11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
37,Windsor County,Vermont,2015-05-24,43.43623,-72.43684,Spring,80.7,37.3,11.3,0.0,9.9,Clear,15.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
38,Yakima County,Washington,1941-10-15,46.24639,-120.8681,Fall,80.7,37.3,11.3,0.0,9.9,Clear,15.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
39,Yakima County,Washington,1996-08-30,46.71444,-120.6694,Summer,82.1,53.9,0.0,0.0,9.9,Clear,18.3,light: 0 to 0.1,Clear: 6.21 to 12.43,
40,Yakima County,Washington,1996-11-01,46.5602,-121.1458,Fall,51.2,23.1,0.0,0.0,8.5,Clear,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,
41,Yakima County,Washington,2000-06-13,46.87139,-121.2981,Summer,61.2,44.3,46.3,0.123,6.6,"Rain, Partially cloudy",14.9,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
42,Yakima County,Washington,2000-07-21,46.8733,-121.3051,Summer,86.2,55.9,0.0,0.0,8.9,Clear,14.1,light: 0 to 0.1,Clear: 6.21 to 12.43,
43,Yakima County,Washington,2000-07-25,46.82167,-121.2764,Summer,73.8,55.2,17.5,0.0,9.5,Clear,33.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
44,Yakima County,Washington,2000-10-28,46.93333,-121.2692,Winter,48.2,37.8,74.5,0.15,8.2,"Rain, Partially cloudy",9.5,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
46,Yakima County,Washington,2001-10-29,46.621,-121.0638,Fall,45.1,30.7,86.3,0.0,9.8,Partially cloudy,7.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
47,Yakima County,Washington,2003-07-21,46.4984,-120.4474,Summer,95.1,54.5,0.1,0.0,10.0,Clear,7.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
48,Yakima County,Washington,2003-11-07,46.80505,-121.0909,Fall,35.0,16.3,67.5,0.0,9.8,Partially cloudy,8.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
49,Yakima County,Washington,2005-07-08,46.74778,-121.3603,Summer,67.1,53.2,61.3,0.278,7.7,"Rain, Partially cloudy",10.4,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
50,Yakima County,Washington,2007-08-18,46.85,-121.25,Summer,68.9,49.2,25.5,0.014,8.1,"Rain, Partially cloudy",14.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
51,Yakima County,Washington,2008-10-05,46.52485,-121.2957,Fall,61.1,37.1,41.3,0.0,9.9,Partially cloudy,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
