,state,latitude,season,Temperature Average,Expected Temperature,Temperature Classifications,cloud_cover,Expected Cloud Cover,Cloud Cover Classification (%),visibility,Expected Visibility,Visibility Classification (mi),precip_intensity,Expected Precipitation Intensity,Precip Intensity Groups
22,Washington,46.71444,Summer,68.0,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
24,Washington,46.87139,Summer,52.75,60.5,Mild: 50F to 62.5,46.3,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,6.6,12.216463414634154,Clear: 6.21 to 12.43,0.123,0.052469512195121935,moderate: 0.1 to 0.3
25,Washington,46.8733,Summer,71.05,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,8.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
26,Washington,46.82167,Summer,64.5,60.5,Warm: 62.5F to 75F,17.5,44.8609756097561,Mostly Sunny: 6.25 to 25,9.5,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
29,Washington,46.4984,Summer,74.8,60.5,Warm: 62.5F to 75F,0.1,44.8609756097561,Sunny: 0 to 6.25,10.0,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
31,Washington,46.74778,Summer,60.15,60.5,Mild: 50F to 62.5,61.3,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,7.7,12.216463414634154,Clear: 6.21 to 12.43,0.278,0.052469512195121935,moderate: 0.1 to 0.3
32,Washington,46.85,Summer,59.050000000000004,60.5,Mild: 50F to 62.5,25.5,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,8.1,12.216463414634154,Clear: 6.21 to 12.43,0.014,0.052469512195121935,light: 0 to 0.1
35,Washington,46.73581,Summer,63.6,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
37,Washington,46.64558,Summer,63.4,60.5,Warm: 62.5F to 75F,13.5,44.8609756097561,Mostly Sunny: 6.25 to 25,9.4,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
799,Washington,46.94917,Summer,50.5,60.5,Mild: 50F to 62.5,96.4,44.8609756097561,Cloudy/Overcast: 87.5 to 100,9.1,12.216463414634154,Clear: 6.21 to 12.43,0.295,0.052469512195121935,moderate: 0.1 to 0.3
800,Washington,46.803,Summer,57.45,60.5,Mild: 50F to 62.5,72.0,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,10.0,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
